제목,연도,나라,유형,장르,감독
도시괴담,2016,프랑스,장편,공포(호러),세바스티안 로스타인 페데리코 로스타인
앵귀시: 소녀의 저주,2015,미국,장편,공포(호러),소니 몰히
화이트데이: 부서진 결계,2021,한국,장편,공포(호러),송운
죽고 싶은 인간들의 밤,2020,미국,장편,공포(호러),숀 케인
바바 야가: 숲의 악령,2020,러시아,장편,공포(호러),스브야토슬라브 포드가에브스키
머메이드: 죽음의 호수,2018,러시아,장편,공포(호러),스브야토슬라브 포드가에브스키
거울의 문,2015,러시아,장편,공포(호러),스브야토슬라브 포드가에브스키
블랙폰,2021,미국,장편,공포(호러),스콧 데릭슨
죽음의 서약,2019,영국,장편,공포(호러),스콧 제프리
컨저링: 악마가 돌아왔다,2021,미국,장편,공포(호러),스콧 제프리
돈 스피크,2020,미국,장편,공포(호러),스콧 제프리
클라운 돌,2019,미국,장편,공포(호러),스콧 제프리
해피 데스데이: 악마의 큐피드,2020,미국,장편,공포(호러),스콧 제프리
더 배드 넌,2018,영국,장편,공포(호러),스콧 제프리
마션랜드,2015,미국,장편,공포(호러),스콧 휠러
네크로맨서: 검은 숲,2018,영국,장편,공포(호러),스튜어트 브레넌
플랜 Z,2016,영국,장편,공포(호러),스튜어트 브레넌
언데드 인 커밍,2018,호주,장편,공포(호러),스티븐 스피엘
사유리,2024,일본,장편,공포(호러),시라이시 코지
사다코 대 카야코,2016,일본,장편,공포(호러),시라이시 코지
기괴도,2023,일본,장편,공포(호러),시미즈 다카시
옥스 헤드 빌리지,2022,일본,장편,공포(호러),시미즈 다카시
수어사이드 포레스트 빌리지,2021,일본,장편,공포(호러),시미즈 다카시
사나: 저주의 아이,2023,일본,장편,공포(호러),시미즈 다카시
코도모츠카이,2017,일본,장편,공포(호러),시미즈 다카시
살인소설2: 다시 시작된 저주,2015,미국,장편,공포(호러),시아란 포이
목격자-눈이 없는 아이,2019,중국,장편,공포(호러),심용
세번째 밤,2017,호주,장편,공포(호러),아담 그레블리
그날,2021,미국,장편,공포(호러),아담 스틸웰
숨바꼭질 : 같이 놀아줘,2021,멕시코,장편,공포(호러),아드리안 가르시아 보글리아노
위자 크래프트,2020,미국,장편,공포(호러),아론 머티스
더 넌: 수녀의 저주,2018,미국,장편,공포(호러),아론 머티스
그것: 광대의 저주,2017,미국,장편,공포(호러),아론 머티스
오멘: 저주의 시작,2024,미국,장편,공포(호러),아르카샤 스티븐슨
미드소마,2019,미국,장편,공포(호러),아리 에스터
유전,2017,미국,장편,공포(호러),아리 에스터
미드소마 감독판,2019,미국,장편,공포(호러),아리 에스터
비데블: 저주의 어플,2016,미국,장편,공포(호러),아벨 뱅 벌리 뱅
악령의 수녀원,2018,영국,장편,공포(호러),아이슬린 클락
위자: 마지막 게임,2018,미국,장편,공포(호러),안드레아 무냐이니
데들리 스틸,2018,러시아,장편,공포(호러),안톤 젠코비치
엑소시즘: 신과 퇴마사,2021,미국,장편,공포(호러),알레한드로 히달고
이블데드 본리스,2016,미국,장편,공포(호러),알렉산더 바바에브
닥터 데스,2020,미국,장편,공포(호러),알리 자마니 에스마티
파이와켓: 죽음의 주문,2017,캐나다,장편,공포(호러),애덤 맥도날드
죽이는 여자,2019,미국,장편,공포(호러),애슐리 해밀턴
할로윈: 살인마 잭,2018,영국,장편,공포(호러),앤드류 존스
데빌 인 더 캐빈,2017,미국,장편,공포(호러),앤드류 존스
컨저링 더 데드,2015,영국,장편,공포(호러),앤드류 존스
무덤 위 마지막 집,2015,영국,장편,공포(호러),앤드류 존스
로버트: 인형의 저주,2015,영국,장편,공포(호러),앤드류 존스
폴터가이스트 액티비티,2015,영국,장편,공포(호러),앤드류 존스
위치 오브 하우스,2018,미국,장편,공포(호러),앤디 밋튼
아워 하우스,2018,캐나다,장편,공포(호러),앤서니 스콧 번스
로쿠로쿠 요괴괴담,2017,일본,장편,공포(호러),야마구치 유다이
콥스파티 : 북 오브 섀도우,2016,일본,장편,공포(호러),야마다 마사후미
마녀의 저주,2018,미국,장편,공포(호러),에디 렝겔
살인의 흉터,2016,미국,장편,공포(호러),에디 렝겔
해피 데스나이트,2019,미국,장편,공포(호러),에릭 포스버그
벨제부스,2017,멕시코,장편,공포(호러),에밀리오 포르테스
사라진 시간,2016,미국,장편,공포(호러),엠마누엘 산도발
홈캠,2024,한국,장편,공포(호러),오세호
다크니스 라이징,2017,미국,장편,공포(호러),오스틴 리딩
블러드 페스트,2018,미국,장편,공포(호러),오웬 에저튼
파라노말 드라이브,2016,러시아,장편,공포(호러),올레그 아사두린
예루살렘Z: 좀비와의 전쟁,2015,이스라엘,장편,공포(호러),요아브 파즈 도론 파즈
피를 빠는 인형,2017,일본,장편,공포(호러),우메자와 소이치
가시,2015,일본,단편,공포(호러),우메자와 소이치
0.0MHz,2018,한국,장편,공포(호러),유선동
혼 : 공포의 시작,2019,한국,장편,공포(호러),유성호
두 번째 아이,2024,한국,장편,공포(호러),유은정
호텔 레이크,2020,한국,장편,공포(호러),윤은경
혼숨,2016,한국,장편,공포(호러),이두환
여고괴담 리부트: 母校,2019,한국,장편,공포(호러),이미영
위자: 레저렉션,2015,미국,장편,공포(호러),이스라엘 루나
로스트 애프터 다크,2015,캐나다,장편,공포(호러),이안 케스너
늑대소녀,2016,미국,장편,공포(호러),자레드 콘
크루시,2017,영국,장편,공포(호러),자비에 장
레스토레이션: 저주의 시작,2016,미국,장편,공포(호러),잭 워드
할로윈 킬러,2021,미국,장편,공포(호러),잭 피터 먼디
샤크 더 맨이터,2022,미국,장편,공포(호러),저스틴 리
헌티드 맨션,2023,미국,장편,공포(호러),저스틴 시미엔
배드 헤어,2019,미국,장편,공포(호러),저스틴 시미엔
엘프: 사탄의 인형,2017,미국,장편,공포(호러),저스틴 프라이스
요가학원 : 죽음의 쿤달리니,2019,한국,장편,공포(호러),전재홍 김지한
공포체험단 곤지암편,2019,한국,장편,공포(호러),정범식
귀신 이야기,2017,영국,장편,공포(호러),제레미 다이슨 앤디 나이맨
어사일럼 오브 다크니스,2017,미국,장편,공포(호러),제이 울펠
데스타운 2,2015,미국,장편,공포(호러),제이미 루트
맨디 : 귀신들린 인형,2018,영국,장편,공포(호러),제이미 웨스턴
좀비드럭,2015,캐나다,장편,공포(호러),제이슨 윌리엄 리
포레스트: 죽음의 숲,2016,미국,장편,공포(호러),제이슨 자다
에일리언 침공,2016,미국,장편,공포(호러),제이크 메이어스
컨저링 2,2016,미국,장편,공포(호러),제임스 완
블러드 퀀텀,2019,캐나다,장편,공포(호러),제프 바나비
엑시트 14,2018,미국,장편,공포(호러),조 살세도
디치,2016,미국,장편,공포(호러),조 헨드릭
델리리움,2018,미국,장편,공포(호러),조니 마틴
데드 엔드 데몬,2017,미국,장편,공포(호러),조단 F. 간마
사탄의 드론,2019,러시아,장편,공포(호러),조던 루빈
괴기맨숀,2021,한국,장편,공포(호러),조바른
앤: 영혼이 깃든 인형,2018,미국,장편,공포(호러),조셉 마자페로
호스텔: 미국 배낭여행 살인사건,2019,미국,장편,공포(호러),조셉 켈리
컨트랙티드 2,2015,미국,장편,공포(호러),조쉬 포브스
탈론폴,2017,미국,장편,공포(호러),조슈아 슈리브
데들리 스토커,2017,미국,장편,공포(호러),조지아 리
엄마의 사랑: 웨웨 곰벨 이야기 - HBO 포크로어,2018,인도네시아,장편,공포(호러),조코 안와르
위시 어폰,2017,미국,장편,공포(호러),존 R. 레오네티
사탄 : 휴게소 - 감독판,2019,한국,장편,공포(호러),준오
휴게소,2016,한국,장편,공포(호러),준오
리본,2018,미국,장편,공포(호러),줄리안 리처드
엑소시스트: 더 바티칸,2023,미국,장편,공포(호러),줄리어스 에이버리
테러 라이브: 싸이코패스,2016,미국,장편,공포(호러),지미 리 콤즈
이상존재,2021,한국,장편,공포(호러),차진우
침입자,2017,영국,장편,공포(호러),찰리 스티즈
삼악도,2023,한국,장편,공포(호러),채기준
마신자 - 빨간 옷 소녀의 저주,2015,대만,장편,공포(호러),청웨이하오
신체모음.zip,2022,한국,장편,공포(호러),최원경 전병덕 이광진 지삼 김장미 서형우
파라노말 고스트,2017,미국,장편,공포(호러),칼 린드버프
스페인 배낭여행 연쇄살인사건,2017,스페인,장편,공포(호러),칼로스 호프레
배니싱 트윈,2016,캐나다,장편,공포(호러),코디 칼라한
더 넌,2018,미국,장편,공포(호러),코린 하디
스토커 : 할로윈 데이,2017,미국,장편,공포(호러),코빈 팀브룩
히즈 아웃 데어,2018,미국,장편,공포(호러),퀸 래셔
기묘한 이야기들,2017,미국,장편,공포(호러),크리스 반스
다크 스트레인저,2015,캐나다,장편,공포(호러),크리스 트레빌콕
정신병원,2017,미국,장편,공포(호러),크리스토퍼 로렌스 채프먼
사다코 디엑스,2022,일본,장편,공포(호러),키무라 히사시
트윈,2021,핀란드,장편,공포(호러),타넬리 무스토넨
헌티드 파크,2019,일본,장편,공포(호러),타카하시 히로시
괴기열차,2024,한국,장편,공포(호러),탁세웅
귀못,2022,한국,장편,공포(호러),탁세웅
누가 있어,2015,스페인,단편,공포(호러),토니 모랄레스
엑소시스트: 사탄의 부활,2016,미국,장편,공포(호러),토미 페어클로스
부두,2017,미국,장편,공포(호러),톰 코스터블
베스와 베라,2018,프랑스,장편,공포(호러),파스칼 로지에
시암,2017,태국,장편,공포(호러),파이라크 쿰완
베로니카,2017,스페인,장편,공포(호러),파코 플라자
이블 아이덴티티,2015,미국,장편,공포(호러),파트나크 R. P.
플레이 데드,2022,미국,장편,공포(호러),패트릭 루지어
인시디어스: 빨간 문,2023,미국,장편,공포(호러),패트릭 윌슨
질투: 복수의 화신,2015,미국,장편,공포(호러),패트릭 켄넬리
폽: 귀신 이야기 - HBO 포크로어,2018,태국,장편,공포(호러),펜엑 라타나루앙
도살장,2015,미국,장편,공포(호러),포웰 로빈슨 패트릭 로버트 영
피낙 2,2020,태국,장편,공포(호러),폰타리스 조키즈사다르소폰
엑소시즘: 로스트테이프,2015,미국,장편,공포(호러),폴 카타라노토
크리스마스 호러 스토리,2017,미국,장편,공포(호러),폴 탠터
컨벤트,2018,영국,장편,공포(호러),폴 하이엣
컨저링 오브 고스트헌터즈,2016,미국,장편,공포(호러),피어리 레저널드 테오
이스케이프 슬립,2017,미국,장편,공포(호러),필립 구즈먼
링스,2017,미국,장편,공포(호러),하비에르 구티에레즈
뮤즈,2017,스페인,장편,공포(호러),하우메 발라게로
데빌 우먼,2018,호주,단편,공포(호러),하이디 리 더글라스
씬,2024,한국,장편,공포(호러),한동석
므이 : 저주  돌아오다,2022,베트남,장편,공포(호러),항 찐
여귀교- 저주를 부르는 게임,2023,대만,장편,공포(호러),해악륭
저주던지기,2023,한국,장편,공포(호러),허성용
시체들의 새벽: 컨테이젼,2018,불가리아,장편,공포(호러),헥터 헤르난데즈 비센스
변신 : 어느날 갑자기,2020,영국,장편,공포(호러),헨크 프리토리우스
저주의 산뗏,2018,인도네시아,장편,공포(호러),헬피 카르딧
라 카사: 영혼의 집,2021,미국,장편,공포(호러),호르헤 올귄
엑소시스트: 더 데빌,2023,미국,장편,공포(호러),호세 프렌데스
데드 리스트,2018,미국,장편,공포(호러),홀든 앤드루스 이반 아센 빅터 마티유
서울괴담,2021,한국,장편,공포(호러),홍원기
호러메이트,2022,한국,장편,공포(호러),황유정
필선대전정자,2016,중국,장편,공포(호러),황하
미이라: 지하벙커의 비밀,2018,미국,장편,공포(호러),히로시 카타기리
디스어포인트먼트 룸,2016,미국,장편,공포(호러),D.J. 카루소
28주 후,2007,영국,장편,공포(호러),후안 카를로스 프레스나딜로
2월 29일 - 어느날 갑자기 첫번째 이야기,2006,한국,장편,공포(호러),정종훈
301  302,1995,한국,장편,공포(호러),박철수
3AM part 1,2012,태국,장편,공포(호러),이사라 나디 키라티 나킨타논 팟차논 탐마지라
가발,2005,한국,장편,공포(호러),원신연
거울속으로,2003,한국,장편,공포(호러),김성호
검은 집,1999,일본,장편,공포(호러),모리타 요시미츠
검은 집: 죽음을 보는 눈,2014,미국,장편,공포(호러),빅터 살바
고스트 오브 컨저링,2012,미국,장편,공포(호러),호세 프렌데스
고양이: 죽음을 보는 두 개의 눈,2011,한국,장편,공포(호러),변승욱
공포의 호수,2014,미국,장편,공포(호러),마이클 크럼
굿나잇 레인의 악령,2014,미국,장편,공포(호러),알리 비잔
귀시,2025,한국,장편,공포(호러),홍원기
기묘한 사랑,2012,일본,장편,공포(호러),오하타 하지메
기생령,2011,한국,장편,공포(호러),고석진
김리병원 이야기,1988,캐나다,장편,공포(호러),가이 매딘
나이트 울프,2012,영국,장편,공포(호러),조나단 글렌드닝
너 또한 별이 되어,1975,한국,장편,공포(호러),이장호
네번째 층 - 어느날 갑자기 두번째 이야기,2006,한국,장편,공포(호러),권호영
더 퍼실리티,2012,영국,장편,공포(호러),이안 클락
데드 캠프5: 블러드 라인스,2012,미국,장편,공포(호러),데클란 오브라이언
데몬: 악령의 저주,2014,캐나다,장편,공포(호러),란드 보슬러
데빌 인사이드 : 악령의 집,2013,미국,장편,공포(호러),크리스 헐버트 랜디 켄트
두 사람이다,2007,한국,장편,공포(호러),오기환
라다랜드,2011,태국,장편,공포(호러),소폰 사크다피싯
령,2004,한국,장편,공포(호러),김태경 이인규
룸 731,2013,미국,단편,공포(호러),김영민
리틀 비트 좀비,2012,캐나다,장편,공포(호러),캐시 워커
링 게이트,2004,캐나다,장편,공포(호러),마이클 바펄로
링0 - 버스데이,2000,일본,장편,공포(호러),츠루타 노리오
링2(1999년  일본판),1999,일본,장편,공포(호러),나카타 히데오
마녀의 집,2013,미국,장편,공포(호러),글렌 밀러
마스터즈 오브 호러 - 담배자국,2005,미국,장편,공포(호러),존 카펜터
마스터즈 오브 호러 - 사슴여인,2005,미국,장편,공포(호러),존 랜디스
매드니스,1995,미국,장편,공포(호러),존 카펜터
며느리의 한,1972,한국,장편,공포(호러),박윤교
무서운 집,2014,한국,장편,공포(호러),양병간
미스터 핼러윈,2007,미국,장편,공포(호러),앤드류 울프
미확인 동영상 : 절대클릭금지,2011,한국,장편,공포(호러),김태경
바스켓위브,2006,미국,장편,공포(호러),크리스토퍼 포브스
바이러스 격리 구역,2013,미국,장편,공포(호러),필립 매시제윅
반혼녀,1973,한국,장편,공포(호러),신상옥
배뱅이,1973,한국,장편,공포(호러),곽정환
버닝데드: 좀비의섬,2014,미국,장편,공포(호러),르네 페르즈
분신사바,2004,한국,장편,공포(호러),안병기
분홍신,2005,한국,장편,공포(호러),김용균
블러드 문 : 나바호의 전설,2014,영국,장편,공포(호러),제레미 우딩
블러디홈커밍,2014,미국,장편,공포(호러),브라이언 C. 위드
비밀의 섬 이에로,2009,스페인,장편,공포(호러),가베 이바네즈
새벽의 저주-악령의 부활,2007,미국,장편,공포(호러),마크 영
샤크마,1990,미국,장편,공포(호러),톰 로건 휴 파크스
서스페리아 1977,1977,이탈리아,장편,공포(호러),다리오 아르젠토
섹스 오브 더 데드,2013,일본,장편,공포(호러),야마우치 다이스케
소름,2001,한국,장편,공포(호러),윤종찬
스승의 은혜,2006,한국,장편,공포(호러),임대웅
신데렐라,2006,한국,장편,공포(호러),봉만대
신의 이방인,1990,한국,장편,공포(호러),박우상 박수일
실종: 악령의 부활,2013,미국,장편,공포(호러),안소니 디블라시
아랑,2006,한국,장편,공포(호러),안상훈
아스모덱시아,2014,스페인,장편,공포(호러),마크 카레트
아파트,2006,한국,장편,공포(호러),안병기
악령,1974,한국,장편,공포(호러),김인수
악령 속의 사춘기,1979,이탈리아,장편,공포(호러),안드리아 비안치
악령의 재림,2012,미국,장편,공포(호러),자레드 콘
악령의 재림 13-13-13,2013,미국,장편,공포(호러),제임스 쿨렌 브레삭
야간개장,2014,영국,장편,공포(호러),앤드류 존스
언틸 던: 무한루프 데스게임,2025,미국,장편,공포(호러),데이비드 F. 샌드버그
엑소시스트: 디렉터스 컷,1973,미국,장편,공포(호러),윌리엄 프리드킨
엑소시즘 2017,2012,미국,장편,공포(호러),자레드 콘
엑스텐션,2003,프랑스,장편,공포(호러),알렉산더 아야
여고괴담 두번째 이야기,1999,한국,장편,공포(호러),김태용 민규동
여고괴담 세번째 이야기: 여우계단,2003,한국,장편,공포(호러),윤재연
여랑,1971,한국,장편,공포(호러),김묵
여름날 파티에서 대학살 2,1987,미국,장편,공포(호러),데보라 브록
오디션,1999,일본,장편,공포(호러),미이케 다카시
오픈 그레이브,2013,미국,장편,공포(호러),곤잘로 로페즈 갈레고
왓치 미 다이,2014,미국,장편,공포(호러),토머스 바누엘로스
요마록,1994,홍콩,장편,공포(호러),금오훈
울프라이징,2014,미국,장편,공포(호러),BC 퍼트니
울프맨,2025,미국,장편,공포(호러),리 워넬
